CustomerID,Gender,Age,Annual_Income_k,Spending_Score,Annual_Income,Cluster,Cluster_Name,Hierarchical_Cluster,DBSCAN_Cluster
36,Female,21,33,81,33000,2,High-Engagement Low-Income,3,0
37,Female,42,34,17,34000,4,Price-Sensitive Segment,4,0
38,Female,30,34,73,34000,2,High-Engagement Low-Income,3,0
39,Female,36,37,26,37000,4,Price-Sensitive Segment,4,0
40,Female,20,37,75,37000,2,High-Engagement Low-Income,3,0
41,Female,65,38,35,38000,4,Price-Sensitive Segment,4,0
42,Male,24,38,92,38000,2,High-Engagement Low-Income,3,0
43,Male,48,39,36,39000,4,Price-Sensitive Segment,4,0
44,Female,31,39,61,39000,0,Core Customer Base,2,0
45,Female,49,39,28,39000,4,Price-Sensitive Segment,4,0
46,Female,24,39,65,39000,2,High-Engagement Low-Income,2,0
47,Female,50,40,55,40000,0,Core Customer Base,2,0
48,Female,27,40,47,40000,0,Core Customer Base,2,0
49,Female,29,40,42,40000,0,Core Customer Base,2,0
50,Female,31,40,42,40000,0,Core Customer Base,2,0
51,Female,49,42,52,42000,0,Core Customer Base,2,0
52,Male,33,42,60,42000,0,Core Customer Base,2,0
53,Female,31,43,54,43000,0,Core Customer Base,2,0
54,Male,59,43,60,43000,0,Core Customer Base,2,0
55,Female,50,43,45,43000,0,Core Customer Base,2,0
56,Male,47,43,41,43000,0,Core Customer Base,2,0
57,Female,51,44,50,44000,0,Core Customer Base,2,0
58,Male,69,44,46,44000,0,Core Customer Base,2,0
59,Female,27,46,51,46000,0,Core Customer Base,2,0
60,Male,53,46,46,46000,0,Core Customer Base,2,0
61,Male,70,46,56,46000,0,Core Customer Base,2,0
62,Male,19,46,55,46000,0,Core Customer Base,2,0
63,Female,67,47,52,47000,0,Core Customer Base,2,0
64,Female,54,47,59,47000,0,Core Customer Base,2,0
65,Male,63,48,51,48000,0,Core Customer Base,2,0
66,Male,18,48,59,48000,0,Core Customer Base,2,0
67,Female,43,48,50,48000,0,Core Customer Base,2,0
68,Female,68,48,48,48000,0,Core Customer Base,2,0
69,Male,19,48,59,48000,0,Core Customer Base,2,0
70,Female,32,48,47,48000,0,Core Customer Base,2,0
71,Male,70,49,55,49000,0,Core Customer Base,2,0
72,Female,47,49,42,49000,0,Core Customer Base,2,0
73,Female,60,50,49,50000,0,Core Customer Base,2,0
74,Female,60,50,56,50000,0,Core Customer Base,2,0
75,Male,59,54,47,54000,0,Core Customer Base,2,0
76,Male,26,54,54,54000,0,Core Customer Base,2,0
77,Female,45,54,53,54000,0,Core Customer Base,2,0
78,Male,40,54,48,54000,0,Core Customer Base,2,0
79,Female,23,54,52,54000,0,Core Customer Base,2,0
80,Female,49,54,42,54000,0,Core Customer Base,2,0
81,Male,57,54,51,54000,0,Core Customer Base,2,0
82,Male,38,54,55,54000,0,Core Customer Base,2,0
83,Male,67,54,41,54000,0,Core Customer Base,2,0
84,Female,46,54,44,54000,0,Core Customer Base,2,0
85,Female,21,54,57,54000,0,Core Customer Base,2,0
86,Male,48,54,46,54000,0,Core Customer Base,2,0
87,Female,55,57,58,57000,0,Core Customer Base,2,0
88,Female,22,57,55,57000,0,Core Customer Base,2,0
89,Female,34,58,60,58000,0,Core Customer Base,2,0
90,Female,50,58,46,58000,0,Core Customer Base,2,0
91,Female,68,59,55,59000,0,Core Customer Base,2,0
92,Male,18,59,41,59000,0,Core Customer Base,2,0
93,Male,48,60,49,60000,0,Core Customer Base,2,0
94,Female,40,60,40,60000,0,Core Customer Base,2,0
95,Female,32,60,42,60000,0,Core Customer Base,2,0
96,Male,24,60,52,60000,0,Core Customer Base,2,0
97,Female,47,60,47,60000,0,Core Customer Base,2,0
98,Female,27,60,50,60000,0,Core Customer Base,2,0
99,Male,48,61,42,61000,0,Core Customer Base,2,0
100,Male,20,61,49,61000,0,Core Customer Base,2,0
101,Female,23,62,41,62000,0,Core Customer Base,2,0
102,Female,49,62,48,62000,0,Core Customer Base,2,0
103,Male,67,62,59,62000,0,Core Customer Base,2,0
104,Male,26,62,55,62000,0,Core Customer Base,2,0
105,Male,49,62,56,62000,0,Core Customer Base,2,0
106,Female,21,62,42,62000,0,Core Customer Base,2,0
107,Female,66,63,50,63000,0,Core Customer Base,2,0
108,Male,54,63,46,63000,0,Core Customer Base,2,0
109,Male,68,63,43,63000,0,Core Customer Base,2,0
110,Male,66,63,48,63000,0,Core Customer Base,2,0
111,Male,65,63,52,63000,0,Core Customer Base,2,0
112,Female,19,63,54,63000,0,Core Customer Base,2,0
113,Female,38,64,42,64000,0,Core Customer Base,2,0
114,Male,19,64,46,64000,0,Core Customer Base,2,0
115,Female,18,65,48,65000,0,Core Customer Base,2,0
116,Female,19,65,50,65000,0,Core Customer Base,2,0
117,Female,63,65,43,65000,0,Core Customer Base,2,0
118,Female,49,65,59,65000,0,Core Customer Base,2,0
119,Female,51,67,43,67000,0,Core Customer Base,2,0
120,Female,50,67,57,67000,0,Core Customer Base,2,0
121,Male,27,67,56,67000,0,Core Customer Base,2,0
122,Female,38,67,40,67000,0,Core Customer Base,2,0
123,Female,40,69,58,69000,0,Core Customer Base,2,0
124,Male,39,69,91,69000,1,High-Value Segment,1,1
125,Female,23,70,29,70000,3,Low-Engagement High-Income,2,0
126,Female,31,70,77,70000,1,High-Value Segment,1,1
127,Male,43,71,35,71000,0,Core Customer Base,2,0
128,Male,40,71,95,71000,1,High-Value Segment,1,1
129,Male,59,71,11,71000,3,Low-Engagement High-Income,0,0
130,Male,38,71,75,71000,1,High-Value Segment,1,1
131,Male,47,71,9,71000,3,Low-Engagement High-Income,0,0
132,Male,39,71,75,71000,1,High-Value Segment,1,1
133,Female,25,72,34,72000,0,Core Customer Base,2,0
134,Female,31,72,71,72000,1,High-Value Segment,1,1
135,Male,20,73,5,73000,3,Low-Engagement High-Income,0,0
136,Female,29,73,88,73000,1,High-Value Segment,1,1
137,Female,44,73,7,73000,3,Low-Engagement High-Income,0,0
138,Male,32,73,73,73000,1,High-Value Segment,1,1
139,Male,19,74,10,74000,3,Low-Engagement High-Income,0,0
140,Female,35,74,72,74000,1,High-Value Segment,1,1
141,Female,57,75,5,75000,3,Low-Engagement High-Income,0,0
142,Male,32,75,93,75000,1,High-Value Segment,1,1
143,Female,28,76,40,76000,0,Core Customer Base,2,0
144,Female,32,76,87,76000,1,High-Value Segment,1,1
145,Male,25,77,12,77000,3,Low-Engagement High-Income,0,0
146,Male,28,77,97,77000,1,High-Value Segment,1,1
147,Male,48,77,36,77000,3,Low-Engagement High-Income,2,0
148,Female,32,77,74,77000,1,High-Value Segment,1,1
149,Female,34,78,22,78000,3,Low-Engagement High-Income,0,0
150,Male,34,78,90,78000,1,High-Value Segment,1,1
151,Male,43,78,17,78000,3,Low-Engagement High-Income,0,0
152,Male,39,78,88,78000,1,High-Value Segment,1,1
153,Female,44,78,20,78000,3,Low-Engagement High-Income,0,0
154,Female,38,78,76,78000,1,High-Value Segment,1,1
155,Female,47,78,16,78000,3,Low-Engagement High-Income,0,0
156,Female,27,78,89,78000,1,High-Value Segment,1,1
157,Male,37,78,1,78000,3,Low-Engagement High-Income,0,0
158,Female,30,78,78,78000,1,High-Value Segment,1,1
159,Male,34,78,1,78000,3,Low-Engagement High-Income,0,0
160,Female,30,78,73,78000,1,High-Value Segment,1,1
161,Female,56,79,35,79000,3,Low-Engagement High-Income,2,0
162,Female,29,79,83,79000,1,High-Value Segment,1,1
163,Male,19,81,5,81000,3,Low-Engagement High-Income,0,0
164,Female,31,81,93,81000,1,High-Value Segment,1,1
165,Male,50,85,26,85000,3,Low-Engagement High-Income,0,0
166,Female,36,85,75,85000,1,High-Value Segment,1,1
167,Male,42,86,20,86000,3,Low-Engagement High-Income,0,0
168,Female,33,86,95,86000,1,High-Value Segment,1,1
169,Female,36,87,27,87000,3,Low-Engagement High-Income,0,0
170,Male,32,87,63,87000,1,High-Value Segment,1,1
171,Male,40,87,13,87000,3,Low-Engagement High-Income,0,0
172,Male,28,87,75,87000,1,High-Value Segment,1,1
173,Male,36,87,10,87000,3,Low-Engagement High-Income,0,0
174,Male,36,87,92,87000,1,High-Value Segment,1,1
175,Female,52,88,13,88000,3,Low-Engagement High-Income,0,0
176,Female,30,88,86,88000,1,High-Value Segment,1,1
177,Male,58,88,15,88000,3,Low-Engagement High-Income,0,0
178,Male,27,88,69,88000,1,High-Value Segment,1,1
179,Male,59,93,14,93000,3,Low-Engagement High-Income,0,0
180,Male,35,93,90,93000,1,High-Value Segment,1,1
181,Female,37,97,32,97000,3,Low-Engagement High-Income,0,0
182,Female,32,97,86,97000,1,High-Value Segment,1,1
183,Male,46,98,15,98000,3,Low-Engagement High-Income,0,0
184,Female,29,98,88,98000,1,High-Value Segment,1,1
185,Female,41,99,39,99000,3,Low-Engagement High-Income,0,0
186,Male,30,99,97,99000,1,High-Value Segment,1,1
187,Female,54,101,24,101000,3,Low-Engagement High-Income,0,0
188,Male,28,101,68,101000,1,High-Value Segment,1,1
189,Female,41,103,17,103000,3,Low-Engagement High-Income,0,0
190,Female,36,103,85,103000,1,High-Value Segment,1,1
191,Female,34,103,23,103000,3,Low-Engagement High-Income,0,0
192,Female,32,103,69,103000,1,High-Value Segment,1,-1
193,Male,33,113,8,113000,3,Low-Engagement High-Income,0,-1
194,Female,38,113,91,113000,1,High-Value Segment,1,1
195,Female,47,120,16,120000,3,Low-Engagement High-Income,0,-1
196,Female,35,120,79,120000,1,High-Value Segment,1,-1
197,Female,45,126,28,126000,3,Low-Engagement High-Income,0,-1
198,Male,32,126,74,126000,1,High-Value Segment,1,-1
199,Male,32,137,18,137000,3,Low-Engagement High-Income,0,-1
200,Male,30,137,83,137000,1,High-Value Segment,1,-1
